Date,Category,Description,Amount
13/02/2018,Small Cap fund 2,,5000.0
13/02/2018,Small cap fund 1,,5000.0
12/2/2018,Food,6 eggs,36.0
12/2/2018,Food,3 packets,30.0
12/2/2018,Food,M D sure 3kg atta,162.0
11/2/2018,Transportation,2 Place 0 to Current Residence,30.0
11/2/2018,Food,pav Bhaji,235.0
11/2/2018,Food,Vadapav,15.0
11/2/2018,Transportation,Place 0 to Place 3 returns,40.0
11/2/2018,Transportation,Current Residence to Place 0,15.0
10/2/2018,Share Market,,4825.0
10/2/2018,Food,1 lit ,69.0
9/2/2018,Apparel,clothes ironing,98.0
8/2/2018,Food,Shev Puri,35.0
8/2/2018,Food,onion 1 kg,25.0
8/2/2018,Food,1 lit ,69.0
7/2/2018,Equity Mutual Fund E,,1000.0
6/2/2018,Culture,2 PVR Place 6,312.0
5/2/2018,Family,,500.0
5/2/2018,Food,Raw chicken half kg,220.0
5/2/2018,Food,Khari packet,45.0
5/2/2018,Food,1 packet,69.0
4/2/2018,Food,Domino's Pizza,452.0
4/2/2018,Food,Catering Service,50.0
4/2/2018,Food,Half lit  milk,35.0
3/2/2018,Food,chocobar,10.0
3/2/2018,Transportation,Place 2 to Place 1 - Shree Sharma Travels,945.0
3/2/2018,Gpay Reward,,6.0
2/2/2018,Food,Catering Service,82.0
2/2/2018,Share Market,,2836.0
2/2/2018,Gpay Reward,,6.0
2/2/2018,Family,,170.0
1/2/2018,Food,8 bananas,30.0
1/2/2018,Food,Half kg tomato,15.0
1/2/2018,Share Market,,50000.0
1/2/2018,Public Provident Fund,,10000.0
1/2/2018,Saving Bank account 1,,2000.0
1/2/2018,maid,,2000.0
1/2/2018,Money transfer,,10000.0
31/01/2018 22:00:22,Food,At restaurant,320.0
31/01/2018 20:01:53,Transportation,Parking sticker,50.0
31/01/2018 08:21:09,Salary,From workplace ,64636.0
31/01/2018 07:31:34,Food,1 lit ,69.0
30/01/2018 21:05:31,Household,Matchbox packet 10pcs,10.0
30/01/2018 21:05:19,Food,Dahi 2 packets,20.0
30/01/2018 15:31:24,Share Market,,10000.0
30/01/2018 08:47:37,Family,,100.0
29/01/2018 07:50:07,Food,Khari packet,45.0
29/01/2018 07:49:51,Food,6 eggs,42.0
29/01/2018 07:49:22,Food,1 lit ,69.0
28/01/2018 19:26:02,Food,2 kachori,24.0
28/01/2018 19:24:01,Household,Smart point,976.9
28/01/2018 19:16:31,Household,Supermart,764.0
27/01/2018 18:15:53,Transportation,Two Wheeler Bikedelux third installment,43000.0
27/01/2018 09:57:14,Share Market,,30000.0
26/01/2018 14:11:01,Transportation,Place 0 to Current Residence,15.0
26/01/2018 12:38:42,Transportation,Place 0 to Place 4 return,20.0
26/01/2018 12:37:47,Apparel,Pyjama (999)+ carry bag (10),1009.0
26/01/2018 10:06:07,Food,1 packet,20.0
26/01/2018 10:05:55,Food,1 lit ,69.0
26/01/2018 10:03:44,Food,potato 1kg,25.0
26/01/2018 10:03:28,Household,Idli pith 1kg,38.0
25/01/2018 13:24:57,Food,Catering Service,70.0
24/01/2018 16:33:41,Saving Bank account 1,,97.14
24/01/2018 09:51:12,Food,Half lit  milk,35.0
23/01/2018 21:28:59,Household,Smart point,273.0
22/01/2018 19:05:26,Food,2 kg Bajari,14.0
22/01/2018 12:08:08,Food,M D sure 3kg atta,162.0
22/01/2018 10:25:23,Health,Cough-sills 4 pcs + sinarest 3 pcs,30.0
22/01/2018 10:25:11,Food,1 lit ,69.0
21/01/2018 19:44:43,Food,Home Food Delivery,384.0
20/01/2018 23:30:27,Amazon pay cashback,,2.0
20/01/2018 20:53:43,Food,crack-jack 1 packi,10.0
20/01/2018 20:53:20,Food,,45.0
20/01/2018 10:18:03,subscription,Permanent Residence - Tata Play recharge,179.0
19/01/2018 22:24:42,Food,Flatbread 6 pcs,17.0
19/01/2018 22:24:20,Household,Amul butter,53.0
19/01/2018 22:23:35,Food,Flatbread 6 pcs,20.0
19/01/2018 22:22:37,Household,Cakes,46.0
18/01/2018 21:57:46,Transportation,Two Wheeler Bikedelux second installment,50000.0
18/01/2018 15:09:12,Food,Fresh veggie pizza,219.0
18/01/2018 07:55:29,Food,6 eggs,42.0
18/01/2018 07:55:00,Food,1 lit ,69.0
16/01/2018 09:20:40,Household,Bhagar 1kg 130 + idli pith 1kg 35,165.0
16/01/2018 08:22:48,Food,1 lit ,69.0
16/01/2018 07:11:55,Social Life,Marathon,298.0
15/01/2018 16:55:27,Food,Chitale Srikhand,284.0
15/01/2018 16:54:35,Food,onion 1 kg + half kg potato,38.0
15/01/2018 13:51:31,Transportation,Place 0 to Place 3 returns,40.0
15/01/2018 13:50:29,Transportation,Uber auto: Place 4 Station to Current Residence society,266.0
14/01/2018 15:23:43,Transportation,Place 0 to Santacruz return,40.0
14/01/2018 15:22:04,Household,Vibrating electronic message tool,798.0
14/01/2018 15:22:51,Transportation,station to Decathlon,20.0
14/01/2018 15:22:40,Transportation,Decathlon to station,25.0
14/01/2018 15:21:39,Apparel,Head band,199.0
14/01/2018 12:21:16,Transportation,Pali hill to Bandra station,23.0
14/01/2018 10:54:48,Transportation,mumbai University Kalina to Santacruz station,40.0
14/01/2018 07:30:30,Transportation,Current Residence to Place 0,15.0
13/01/2018 20:57:11,Health,Thyroid Tablets,740.0
13/01/2018 20:55:55,Apparel,clothes ironing,80.0
13/01/2018,Small Cap fund 2,,5000.0
13/01/2018,Small cap fund 1,,5000.0
12/1/2018,Household,Smart point,226.0
12/1/2018,Health,Family Thyroid Test,500.0
12/1/2018,Share Market,,20000.0
12/1/2018,Equity Mutual Fund A,,1000.0
11/1/2018,Food,6 eggs,42.0
11/1/2018,Food,1 lit ,69.0
10/1/2018,Food,2 packets,40.0
9/1/2018,Food,Flatbread 12 pcs,34.0
9/1/2018,Food,1 lit ,69.0
8/1/2018,Food,Vadapav,20.0
8/1/2018,Other,Gift from inlaws,2000.0
8/1/2018,Household,Sony WI-C100 earphones wireless,1399.0
8/1/2018,Food,M D sure 2kg atta,104.0
8/1/2018,Household,Harpik 1L,165.0
7/1/2018,Food,2 cutting chai,20.0
7/1/2018,Transportation,Place 0 to Place 4 return,20.0
7/1/2018,Equity Mutual Fund E,,1000.0
6/1/2018,subscription,,810.0
6/1/2018,Household,Idli pith 1kg,38.0
6/1/2018,Household,5 litres can Distilled water,100.0
6/1/2018,Food,2 cups,20.0
6/1/2018,Food,1 lit ,69.0
5/1/2018,Maturity amount,,6049.0
4/1/2018,Household,Cockroach injection,270.0
4/1/2018,Household,Nandadip oil bottle,130.0
4/1/2018,Food,Catering Service,70.0
4/1/2018,Small cap fund 1,,5000.0
4/1/2018,Small Cap fund 2,,5000.0
4/1/2018,Documents,Aadhar Address Change,50.0
4/1/2018,Maturity amount,SIP Redemption,113376.0
4/1/2018,Maturity amount,SIP Redemption,106875.0
3/1/2018,Food,Wok express + Domino's,681.0
3/1/2018,Transportation,Two Wheeler Bikedelux booking amount,1000.0
3/1/2018,Food,6 eggs,40.0
3/1/2018,Food,1 lit ,69.0
2/1/2018,Household,Supermart,1140.0
2/1/2018,Health,Refresh Tears Drop,158.0
1/1/2018,subscription,Amazon pay cashback 1017 + Rs.482,482.0
1/1/2018,Food,Raspberry dolly,15.0
1/1/2018,Household,Logitech mouse,599.0
1/1/2018,Food,1 lit ,69.0
1/1/2018,Money transfer,,30000.0
1/1/2018,maid,,2000.0
1/1/2018,Saving Bank account 1,,2000.0
1/1/2018,Public Provident Fund,,10000.0
31/12/2017 13:25:39,Food,Flatbread 24 pcs,30.0
31/12/2017 08:15:25,Salary,From workplace ,64623.0
31/12/2017 07:21:05,Interest,interest paid,594.0
30/12/2017 10:51:45,Food,Dudhi 20 + mirchi 5,25.0
29/12/2017 21:36:07,Family,For utensils,450.0
29/12/2017 18:22:49,Food,3 pavwada,30.0
29/12/2017 18:22:25,Household,,182.0
29/12/2017 18:22:11,Food,,5.0
29/12/2017 13:00:01,subscription,Data booster pack,181.0
28/12/2017 18:27:52,Food,Ginger,10.0
27/12/2017 18:43:16,Food,Tata salt 28+ 6 eggs 42,70.0
26/12/2017 21:55:12,Fixed Deposit,,250000.0
26/12/2017 21:50:33,Saving Bank account 1,,150000.0
26/12/2017 19:35:40,subscription,"ET Prime (1+1) till 24 Dec,2024",1749.0
25/12/2017 17:43:26,subscription,Permanent Residence - Tata Play recharge,156.0
25/12/2017 11:53:26,subscription,Data booster pack,181.0
25/12/2017 05:48:15,Transportation,Place 2 station to Permanent Residence,80.0
24/12/2017 21:24:36,Transportation,2 Current Residence to Place 0,30.0
24/12/2017 19:28:25,Gift,Birthday gift,1364.0
24/12/2017 19:28:11,Food,Gupta bhel,25.0
24/12/2017 19:27:42,Household,Toothbrush (buy 2 get 1),100.0
24/12/2017 08:06:55,Food,Half lit  milk,35.0
23/12/2017 11:06:42,Gift,Birthday gift,798.0
22/12/2017 14:42:54,Food,Home Food Delivery,380.0
22/12/2017,Equity Mutual Fund C,,1000.0
21/12/2017 20:45:11,Food,Vadapav,15.0
21/12/2017 20:45:25,Household,Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0
21/12/2017 14:34:40,Food,Catering Service,65.0
21/12/2017 14:34:05,Food,milk 1lit ,70.0
20/12/2017 10:31:16,Food,Catering Service,95.0
20/12/2017 10:31:16,subscription,Renewal,28400.0
19/12/2017 20:59:27,Gpay Reward,,6.0
19/12/2017 20:25:07,Family,,500.0
19/12/2017 18:57:13,Food,Chicken Frankie,45.0
19/12/2017 17:53:14,Saving Bank account 1,Fund Withdrawal,108.96
19/12/2017 17:53:27,Transportation,Place 0 to WS return,10.0
19/12/2017 06:38:08,Food,milk 1lit ,69.0
18/12/2017 06:00:09,Apparel,undergarment single,312.0
17/12/2017 22:28:06,Food,At restaurant,505.0
17/12/2017 22:27:36,Transportation,within city,30.0
17/12/2017 22:26:42,Household,Dmart,878.0
17/12/2017 17:49:59,Food,2 cutting chai,20.0
17/12/2017 17:48:57,Transportation,college to inorbit,25.0
17/12/2017 16:28:43,Transportation,Place 0 to Place 4 return,20.0
17/12/2017 16:28:24,Transportation,Current Residence to Place 0,15.0
16/12/2017 07:24:10,Food,milk 1lit ,69.0
15/12/2017 07:24:31,Other,Nosebud,10.0
15/12/2017 07:24:31,Food,chocobar,15.0
14/12/2017 20:17:25,Petty cash,From Family,3000.0
14/12/2017 20:17:25,Food,Paneer + 1 kg onion,145.0
13/12/2017 22:00:09,Apparel,clothes ironing,98.0
13/12/2017 17:42:27,Family,,20.0
13/12/2017 07:31:27,Food,milk 1lit ,69.0
12/12/2017,Food,6 eggs,40.0
12/12/2017,Food,Double chicken shwarma,100.0
12/12/2017,Food,Catering Service,80.0
12/12/2017,Equity Mutual Fund F,,1000.0
10/12/2017,Food,,90.0
10/12/2017,Food,,310.0
10/12/2017,Food,Gupta bhel,25.0
10/12/2017,Food,Catering Service,65.0
9/12/2017,Food,Catering Service,85.0
8/12/2017,Food,Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150,408.0
7/12/2017,Food,milk 1lit ,69.0
7/12/2017,Equity Mutual Fund E,,1000.0
6/12/2017,Food,Catering Service,125.0
5/12/2017,subscription,Current Residence - Tata Play recharge,100.0
5/12/2017,subscription,,2700.0
5/12/2017,Equity Mutual Fund A,,1000.0
4/12/2017,Household,Smart point,937.0
4/12/2017,Household,Supermart,990.0
4/12/2017,Food,,120.0
4/12/2017,Maturity amount,Premature closure of RD3 & RD4,14086.0
4/12/2017,Gpay Reward,,6.0
4/12/2017,Food,,35.0
4/12/2017,Food,Amul butter,50.0
4/12/2017,Food,milk 1lit ,69.0
4/12/2017,subscription,,110.0
3/12/2017,Food,Shev Puri,30.0
3/12/2017,Food,Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100,290.0
3/12/2017,Other,2 kg soil,20.0
3/12/2017,Beauty,hair cut+shaving,160.0
2/12/2017,Food,chocobar,35.0
2/12/2017,Food,milk 1lit ,69.0
1/12/2017,Food,Catering Service ( 5 methi paranthe),125.0
1/12/2017,Gpay Reward,,6.0
1/12/2017,Food,1 lit ,69.0
1/12/2017,maid,,2000.0
1/12/2017,Saving Bank account 1,,2000.0
1/12/2017,Saving Bank account 1,Fund Withdrawal,100000.0
1/12/2017,Public Provident Fund,,40000.0
1/12/2017,Recurring Deposit,,1000.0
1/12/2017,Recurring Deposit,,1000.0
30/11/2017 20:20:53,Health,5 Meftal spas,22.0
30/11/2017 20:20:53,Health,Glasses remaining,800.0
30/11/2017 20:20:53,Health,Family's Glasses,22700.0
30/11/2017 16:56:20,Money transfer,,10000.0
30/11/2017 16:17:01,Saving Bank account 2,,77.33
30/11/2017 08:55:08,Family,Change,50.0
30/11/2017 08:15:06,Salary,From workplace ,64636.0
28/11/2017 17:35:35,Food,Sweet bread cake pav kg,90.0
28/11/2017 17:35:35,Food,6 eggs,42.0
28/11/2017 17:35:35,Food,,18.0
28/11/2017 17:35:35,Household,Toast+ biscuits,115.0
28/11/2017 17:35:35,Food,,140.0
28/11/2017 08:30:27,Food,1 lit ,69.0
27/11/2017 21:05:52,Health,Glasses advance,1000.0
27/11/2017 21:05:37,Gpay Reward,,7.0
27/11/2017 16:07:30,Transportation,2 Place 0 to Current Residence,30.0
27/11/2017 13:39:29,Transportation,Place 6 station to  mall,30.0
27/11/2017 13:38:55,Transportation,1 Place 0 to Place 6,5.0
27/11/2017 13:38:20,Apparel,Sandals Hush puppies,2699.0
26/11/2017 22:26:15,Gpay Reward,,8.0
26/11/2017 20:30:45,Transportation,eye institute to Place 6 station,40.0
26/11/2017 20:30:12,Health,eye drop,159.0
26/11/2017 17:29:44,Transportation,Place 6 station to eye institute,40.0
26/11/2017 17:25:47,Health,"Routine checkup - eye institute, Place 6",400.0
26/11/2017 16:59:29,Transportation,1 Place 0 to Place 6 return,10.0
25/11/2017 10:25:57,subscription,Permanent Residence - Tata Play recharge,156.0
25/11/2017 09:29:45,Food,1 lit ,69.0
25/11/2017 09:29:08,Apparel,clothes ironing : Rs 6 per item,90.0
25/11/2017 08:35:44,Food,Half kg tomato,10.0
24/11/2017 12:22:39,Culture,2 PVR Place 6,314.0
23/11/2017 12:22:39,Food,Flatbread 8 pcs,23.0
23/11/2017 12:22:39,Food,Dahi + remaining balance,17.0
23/11/2017 12:22:39,Food,3 kg Bajari,21.0
23/11/2017 06:16:26,Food,1 lit ,69.0
22/11/2017,Equity Mutual Fund C,,1000.0
22/11/2017,Life Insurance,,11043.0
20/11/2017 18:39:39,Food,milk 1lit ,70.0
20/11/2017 18:39:05,scrap,,200.0
19/11/2017 20:23:22,Food,1 Panipuri,20.0
19/11/2017 20:23:06,Transportation,2 Place 0 to Current Residence,30.0
19/11/2017 20:22:43,Transportation,2 Place 0 to Place 6 return,20.0
19/11/2017 20:22:19,Transportation,2 Current Residence to Place 0,30.0
19/11/2017 13:58:30,Culture,2 PVR Place 6,436.0
18/11/2017 22:20:50,Household,Khobra + shengdana+ vim bar,242.0
18/11/2017 20:32:08,Food,6 eggs,39.0
18/11/2017 15:03:07,subscription,,147.0
18/11/2017 11:06:13,Self-development,Marathon,950.0
18/11/2017 08:04:11,Food,1.5 lit milk ,104.0
17/11/2017 22:26:31,Food,Vanila family pack,105.0
17/11/2017 22:25:48,Household,Agarbatti 55 + dahi 25,80.0
17/11/2017 13:37:44,Food,4 kg Gehu,28.0
16/11/2017 05:55:14,Food,1 lit ,70.0
15/11/2017 20:48:26,Food,Home Food Delivery,524.0
15/11/2017 20:47:14,Household,Toast 55 + Kisan Jam 85 + all out 75,209.0
15/11/2017 20:46:34,Education,Photo paper print,45.0
15/11/2017 20:46:03,Food,brown bread,25.0
15/11/2017 20:43:38,Household,Amul butter 52 + Good Day biscuits 43,95.0
14/11/2017 22:09:11,Food,,125.0
14/11/2017 22:08:41,Family,,770.0
14/11/2017 20:19:17,Food,vegetables,160.0
13/11/2017 20:18:43,Household,Pani Puri packet + Bundi + chivda,180.0
13/11/2017 20:18:06,Food,milk 1lit varna,70.0
13/11/2017 20:17:37,Food,onion 1 kg + half kg potato,50.0
13/11/2017 20:17:00,Household,Maggie + lizol,268.0
13/11/2017 20:16:48,Food,Shev bhaji sev pav kg,60.0
12/11/2017,Transportation,2 Place 0 to Current Residence,30.0
12/11/2017,Food,At restaurant,1525.0
12/11/2017,Food,,12.0
12/11/2017,Household,USB cord,130.0
12/11/2017,Household,Screwdriver 2,120.0
12/11/2017,Other,Shopping at Alfa,3690.0
12/11/2017,Transportation,Place P station to Alfa market,34.0
12/11/2017,Transportation,Place 4 station to Place P return,30.0
12/11/2017,Transportation,Place 0 to Place P return,40.0
11/11/2017,Food,6 eggs,39.0
11/11/2017,Food,Half lit  milk,26.0
10/11/2017,Equity Mutual Fund F,,1000.0
9/11/2017,Apparel,clothes ironing : Rs 6 per item,72.0
9/11/2017,Household,Colgate max fresh small,20.0
9/11/2017,Household,,67.0
9/11/2017,Health,Acne Star cream,100.0
9/11/2017,Food,Bhendi bhaji,40.0
9/11/2017,Food,1 lit ,70.0
8/11/2017,Household,,539.0
8/11/2017,Gpay Reward,,6.0
8/11/2017,Food,1 kg apple,130.0
7/11/2017,Food,1 lit ,70.0
7/11/2017,Equity Mutual Fund E,,1000.0
6/11/2017,Food,6 eggs,39.0
5/11/2017,Transportation,Place 0 to Current Residence,15.0
5/11/2017,subscription,Current Residence - Tata Play recharge,200.0
5/11/2017,Equity Mutual Fund A,,1000.0
3/11/2017,Saving Bank account 1,,2000.0
3/11/2017,subscription,,2700.0
2/11/2017,Food,2 pavwada,20.0
2/11/2017,Other,Dambar goli 2 packets ( Naphthalene balls),130.0
1/11/2017,subscription,Mobile Service Provider freedom pack,296.0
1/11/2017,Salary,From workplace ,78298.0
1/11/2017,Recurring Deposit,,1000.0
1/11/2017,Recurring Deposit,,1000.0
1/11/2017,Public Provident Fund,,10000.0
1/11/2017,Money transfer,,10000.0
29/10/2017 22:56:05,subscription,Mobile Service Provider freedom pack,296.0
29/10/2017 22:24:14,subscription,Mobile Service Provider freedom pack,296.0
29/10/2017 21:54:53,subscription,subscription 1yr,795.49
27/10/2017 12:55:49,Transportation,Permanent Residence to bus stand,40.0
26/10/2017 19:24:35,Transportation,within city,50.0
26/10/2017 19:23:26,Festivals,Offering,50.0
26/10/2017 16:34:04,Festivals,Offering,10.0
26/10/2017 13:01:57,Festivals,Offering,500.0
25/10/2017 21:51:03,Petty cash,From Family,3000.0
24/10/2017 18:27:42,subscription,Mobile Service Provider freedom pack,296.0
24/10/2017 10:58:47,Food,Dahi,10.0
23/10/2017 21:28:37,Household,Shampoo sachets,9.0
23/10/2017 19:00:08,Apparel,Slippers,220.0
23/10/2017 18:57:11,Festivals,Aakash kandil,200.0
23/10/2017 18:54:46,Household,Dettol liquid handwash refill,99.0
23/10/2017 11:03:59,Household,flour mill,27.0
23/10/2017 09:02:11,Household,,50.0
23/10/2017 04:23:50,subscription,Permanent Residence - Tata Play recharge,191.0
22/10/2017 18:35:25,Transportation,Current Residence to Place 1 bus stop highway,50.0
22/10/2017,Equity Mutual Fund C,,1000.0
21/10/2017 21:32:40,Other,ipad cover + case,1888.0
21/10/2017 19:30:30,Food,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0
21/10/2017 13:43:21,maid,,2000.0
20/10/2017 23:03:35,Gift,farewell contribution,200.0
20/10/2017 19:54:58,Festivals,Rangoli + stamp,20.0
19/10/2017 21:44:36,Food,Gupta bhel,25.0
18/10/2017 19:24:45,Transportation,2 Place 2 to Place 3 : Sevagram express 3AC,1333.0
18/10/2017 19:16:25,Transportation,2 Place 3 to Place 2 : Amritsar express 3AC,1231.0
17/10/2017 13:18:33,Petty cash,From Family,3000.0
13/10/2017 12:33:18,Family,,70.0
11/10/2017,Equity Mutual Fund D,Lumpsum,10000.0
11/10/2017,Transportation,Place 2 to Place 3 sevagram,658.6
10/10/2017,Household,flour mill,14.0
10/10/2017,Share Market,Stock market,150000.0
10/10/2017,Equity Mutual Fund F,,1000.0
9/10/2017,Food,,230.0
9/10/2017,Food,vegetables,280.0
9/10/2017,subscription,1 Year Plan (40mbps + UL+ 3 Months Free),5640.0
8/10/2017,Gift,For Friend,6500.0
8/10/2017,Family,Fab India,3198.0
7/10/2017,Equity Mutual Fund E,,1000.0
6/10/2017,Health,,468.0
5/10/2017,Other,account opening fee,200.0
5/10/2017,Equity Mutual Fund A,,1000.0
4/10/2017,subscription,,2700.0
4/10/2017,Health,Boroline + band aid,50.0
4/10/2017,Family,,400.0
2/10/2017,Household,Supermart,3055.0
2/10/2017,maid,,2000.0
1/10/2017,subscription,3 months subscription Mobile,149.0
1/10/2017,Recurring Deposit,,1000.0
1/10/2017,Recurring Deposit,,1000.0
1/10/2017,Public Provident Fund,,10000.0
1/10/2017,Money transfer,,10000.0
30/09/2017 20:24:16,Health,Candid dusting powder,59.0
30/09/2017 20:24:02,Household,Supermart,155.0
30/09/2017 20:23:13,Food,vegetables,135.0
30/09/2017 20:22:53,Food,vegetables,30.0
30/09/2017 17:03:55,Household,Cooktop installation+ base,600.0
30/09/2017 10:12:34,Salary,From workplace ,61578.0
30/09/2017 07:40:38,Interest,interest paid,778.0
29/09/2017 21:53:47,Apparel,clothes ironing : Rs 6 per item,60.0
29/09/2017 21:53:28,Food,Gupta bhel,25.0
29/09/2017 21:53:08,Food,Vanila cup,10.0
29/09/2017 21:52:32,Health,3 tablet Nor tz,21.0
28/09/2017 18:32:23,subscription,Current Residence - Tata Play recharge,215.0
28/09/2017 16:58:46,Transportation,2 Place 1 to Place 2 - Novelty tour and travels,2388.0
27/09/2017 20:17:00,Household,,312.0
27/09/2017 15:55:05,Gpay Reward,,6.0
27/09/2017 15:53:49,Gift,farewell contribution,334.0
25/09/2017 17:57:52,Food,half kg chiku,30.0
25/09/2017 17:56:56,Food,Apple 2 kg (110) + Banana 1kg (80),300.0
24/09/2017 21:05:55,Transportation,2 Place 0 to Current Residence,30.0
24/09/2017 21:05:24,Transportation,Place 0 to WS return,10.0
24/09/2017 15:58:33,Culture,2,560.0
24/09/2017 11:36:54,Food,Half kg pedhe,280.0
24/09/2017 11:36:37,Beauty,hair cut,100.0
23/09/2017 21:04:58,Food,Chicken masala gravy,100.0
22/09/2017,Equity Mutual Fund C,,1000.0
21/09/2017 15:07:52,Other,Umbrella cover repair,10.0
21/09/2017 15:06:36,Transportation,Place 0 to Current Residence,15.0
21/09/2017 12:45:28,Food,Vadapav,15.0
21/09/2017 12:45:22,Food,,10.0
21/09/2017 08:05:45,Transportation,Place 0 to dadar return,30.0
21/09/2017 07:52:53,Family,,70.0
20/09/2017 19:14:29,Health,Surgical gloves pair,20.0
20/09/2017 14:01:38,Other,CSR,100.0
20/09/2017 14:01:26,Family,,20.0
18/09/2017 20:35:36,Health,,55.0
18/09/2017 10:22:42,Food,half kg chiku,60.0
18/09/2017 10:22:20,Food,Nariyal,55.0
17/09/2017 21:47:23,Household,,114.0
17/09/2017 12:45:37,Health,,151.0
17/09/2017 10:50:40,Household,Supermart,558.0
17/09/2017 10:50:23,Food,,35.0
17/09/2017 10:50:09,Food,1.5 lit milk ,99.0
15/09/2017 22:32:40,Food,Sugaran Kitchen,60.0
15/09/2017 13:32:36,Food,,130.0
15/09/2017 11:48:48,Food,Nariyal,55.0
15/09/2017 11:48:08,Health,,373.0
15/09/2017 11:47:49,Health,Doctor Fees,150.0
15/09/2017 11:46:38,Transportation,2 Place 2 to Place 1 - Novelty tour and travels,1400.0
15/09/2017 09:56:50,Food,2 tea parcel,24.0
15/09/2017 09:56:30,Food,2 plates poha,50.0
15/09/2017 09:56:20,Food,milk 1lit ,66.0
14/09/2017 06:21:12,Food,,282.0
14/09/2017 06:21:12,subscription,Current Residence - Tata Play recharge,100.0
13/09/2017 21:24:47,Food,Sugaran Kitchen,110.0
12/9/2017,Gpay Reward,,5.0
12/9/2017,Food,milk 1lit ,66.0
11/9/2017,Transportation,Current Residence to Place 1 bus stop highway,60.0
11/9/2017,Transportation,2 Place 1 to Place 2 - Novelty tour and travels,2598.0
11/9/2017,Family,,2500.0
11/9/2017,Gpay Reward,,6.0
11/9/2017,Food,vegetables,285.0
11/9/2017,Transportation,Local pass to Family,100.0
11/9/2017,Transportation,2 Current Residence to Place 0,30.0
11/9/2017,Food,Idli 4 pcs + kachori 4 pcs,93.0
10/9/2017,Household,Supermart,514.0
10/9/2017,Equity Mutual Fund F,,1000.0
9/9/2017,Health,V-wash,45.0
8/9/2017,Transportation,2 Place 1 to Place 2 - Novelty tour and travels,1440.0
8/9/2017,Food,M D sure 4kg atta,196.0
7/9/2017,Equity Mutual Fund E,,1000.0
6/9/2017,Family,,500.0
6/9/2017,Other,Pant chain repair,20.0
6/9/2017,Food,Sweet bread cake 90 + veg puff 2,140.0
5/9/2017,subscription,,2700.0
5/9/2017,Education,Print outs+ Xerox,50.0
5/9/2017,Equity Mutual Fund A,,1000.0
4/9/2017,Food,4 cups (2 Vanilla 2 tutifruity),40.0
3/9/2017,Other,clock cell,15.0
3/9/2017,subscription,,170.0
1/9/2017,maid,,820.0
1/9/2017,Food,milk 1lit ,66.0
1/9/2017,Recurring Deposit,,1000.0
1/9/2017,Recurring Deposit,,1000.0
1/9/2017,Public Provident Fund,,10000.0
1/9/2017,Money transfer,,10000.0
31/08/2017 16:31:29,Other,Sms charges + GST,17.7
31/08/2017 10:23:19,Household,Odonil,60.0
31/08/2017 10:22:22,Household,Honey small bottle,10.0
31/08/2017 10:22:07,Household,Janeyu,5.0
31/08/2017 10:21:37,Household,Nariyal,25.0
31/08/2017 06:56:51,Gpay Reward,,5.0
31/08/2017 06:56:39,Gpay Reward,,14.0
31/08/2017 06:56:17,Food,1.5 lit milk ,99.0
30/08/2017 21:59:50,Health,5 Meftal spas,22.0
30/08/2017 18:55:32,Salary,From workplace ,61578.0
29/08/2017 12:03:54,Transportation,Ola cab - Domestic airport T1 to Current Residence,640.0
28/08/2017 12:06:47,Tourism,Misc expense,200.0
28/08/2017 12:06:47,Food,2 chips packets,20.0
27/08/2017 04:44:32,Tourism,Misc expense,100.0
27/08/2017 04:44:32,Health,Vicks inhaler,59.0
27/08/2017 04:44:32,Transportation,market to resort,200.0
26/08/2017 22:17:11,Food,Parle G chota pack,5.0
26/08/2017 07:46:28,Maturity amount,FD matured,61754.0
25/08/2017 05:51:28,Health,strepsils 13 pills,39.0
24/08/2017 22:31:56,Transportation,Auto : Mahal to hotel,40.0
24/08/2017 22:31:56,Food,roof top lounge  (200 french fries + 100 masala tea)+15 GST + 10 Tip,325.0
24/08/2017 16:09:59,Household,2 Bedsheets (1500 each),3000.0
24/08/2017 16:09:05,Apparel,Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),5200.0
23/08/2017 14:08:23,Food,180 Chicken Sandwich + 120 vada pav & Samosa,300.0
23/08/2017 14:07:44,Transportation,Ola cab - Current Residence to Domestic airport T1,850.0
22/08/2017 16:11:00,Family,,5000.0
22/08/2017 16:11:00,Household,Mahanagar Gas connection installation,300.0
22/08/2017,Life Insurance,,11043.0
22/08/2017,Equity Mutual Fund C,,1000.0
21/08/2017 18:02:58,Household,Selfie stick Bluetooth tripod,280.0
21/08/2017 18:02:12,Beauty,Shaving,50.0
21/08/2017 11:59:10,Food,1.5 kg onions,33.0
21/08/2017 11:58:05,Beauty,Lens cleaner,80.0
21/08/2017 11:52:41,Education,15 fevistick + 12 xerox2 & print2,27.0
20/08/2017 21:01:24,Food,Baskin Robbins,166.0
20/08/2017 21:00:13,Food,280 chicken dum biryani+ 200 paneer tikka laziz + GST,504.0
20/08/2017 20:59:43,Transportation,BKC to kurla station,60.0
20/08/2017 20:58:50,Transportation,Ola cab - siddhivinayak to BKC,361.0
